#note	type	output type	input types	op id	flags	width in	width out	code	tags	rating	code_custom[0]	code_custom[1]...
arithetic_std	instruction	uint16_t	uint16_t,uint16_t	ADD_uint16_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	uint16_t	uint16_t,uint16_t	ADD_uint16_t		8	8	_mm_add_epi16($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	uint16_t	uint16_t,uint16_t	ADD_uint16_t		4	4	_mm_add_epi16($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	uint16_t	uint16_t,uint16_t	ADD_uint16_t		2	2	_mm_add_epi16($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	uint32_t	uint32_t,uint32_t	ADD_uint32_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	uint32_t	uint32_t,uint32_t	ADD_uint32_t		4	4	_mm_add_epi32($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	uint32_t	uint32_t,uint32_t	ADD_uint32_t		2	2	_mm_add_epi32($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	uint64_t	uint64_t,uint64_t	ADD_uint64_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	uint64_t	uint64_t,uint64_t	ADD_uint64_t		2	2	_mm_add_epi64($$arg1,$$arg2)	sse,universal	10		
arithetic_std	instruction	uint8_t	uint8_t,uint8_t	ADD_uint8_t		1	1	$$arg1 + $$arg2	C,universal	10		
sse_arithetic_std	instruction	uint8_t	uint8_t,uint8_t	ADD_uint8_t		16	16	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	uint8_t	uint8_t,uint8_t	ADD_uint8_t		8	8	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	uint8_t	uint8_t,uint8_t	ADD_uint8_t		4	4	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
sse_arithetic_std	instruction	uint8_t	uint8_t,uint8_t	ADD_uint8_t		2	2	_mm_add_epi8($$arg1,$$arg2)	sse,universal	10		
logical	instruction	bool	bool,bool	AND_bool		1	1	$$arg1 && $$arg2	C,universal	10		
sse_logical	instruction	bool	bool,bool	AND_bool		1	1	$$arg1 & $$arg2	C,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		2	2	$$arg1 & $$arg2	C,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		4	4	$$arg1 & $$arg2	C,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		8	8	$$arg1 & $$arg2	C,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		16	16	$$arg1 & $$arg2	C,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		32	32	$$arg1 & $$arg2	C,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		64	64	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_logical	instruction	bool	bool,bool	AND_bool		128	128	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	int16_t	int16_t,int16_t	AND_int16_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	int16_t	int16_t,int16_t	AND_int16_t		8	8	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	int16_t	int16_t,int16_t	AND_int16_t		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	int16_t	int16_t,int16_t	AND_int16_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	int32_t	int32_t,int32_t	AND_int32_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	int32_t	int32_t,int32_t	AND_int32_t		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	int32_t	int32_t,int32_t	AND_int32_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	int64_t	int64_t,int64_t	AND_int64_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	int64_t	int64_t,int64_t	AND_int64_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	int8_t	int8_t,int8_t	AND_int8_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	int8_t	int8_t,int8_t	AND_int8_t		16	16	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	int8_t	int8_t,int8_t	AND_int8_t		8	8	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	int8_t	int8_t,int8_t	AND_int8_t		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	int8_t	int8_t,int8_t	AND_int8_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
logical	instruction	ssebool	ssebool,ssebool	AND_ssebool		1	1	$$arg1 & $$arg2	C,universal	10		
sse_logical	instruction	ssebool	ssebool,ssebool	AND_ssebool		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_logical	instruction	ssebool	ssebool,ssebool	AND_ssebool		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_logical	instruction	ssebool	ssebool,ssebool	AND_ssebool		8	8	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_logical	instruction	ssebool	ssebool,ssebool	AND_ssebool		16	16	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	uint16_t	uint16_t,uint16_t	AND_uint16_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	uint16_t	uint16_t,uint16_t	AND_uint16_t		8	8	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	uint16_t	uint16_t,uint16_t	AND_uint16_t		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	uint16_t	uint16_t,uint16_t	AND_uint16_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	uint32_t	uint32_t,uint32_t	AND_uint32_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	uint32_t	uint32_t,uint32_t	AND_uint32_t		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	uint32_t	uint32_t,uint32_t	AND_uint32_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	uint64_t	uint64_t,uint64_t	AND_uint64_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	uint64_t	uint64_t,uint64_t	AND_uint64_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
arithmetic_bin	instruction	uint8_t	uint8_t,uint8_t	AND_uint8_t		1	1	$$arg1 & $$arg2	C,universal	10		
sse_arithmetic_bin	instruction	uint8_t	uint8_t,uint8_t	AND_uint8_t		16	16	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	uint8_t	uint8_t,uint8_t	AND_uint8_t		8	8	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	uint8_t	uint8_t,uint8_t	AND_uint8_t		4	4	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
sse_arithmetic_bin	instruction	uint8_t	uint8_t,uint8_t	AND_uint8_t		2	2	_mm_and_si128($$arg1,$$arg2)	sse,universal	5		
conversions	instruction	double	bool	CVRT_bool_double		1	1	(double)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	float	bool	CVRT_bool_float		1	1	(float)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	int16_t	bool	CVRT_bool_int16_t		1	1	(int16_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	int32_t	bool	CVRT_bool_int32_t		1	1	(int32_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	int64_t	bool	CVRT_bool_int64_t		1	1	(int64_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	int8_t	bool	CVRT_bool_int8_t		1	1	(int8_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	ssebool	bool	CVRT_bool_ssebool		1	1	$$arg1 != 0	C,universal	10		
conversions	instruction	uint16_t	bool	CVRT_bool_uint16_t		1	1	(uint16_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	uint32_t	bool	CVRT_bool_uint32_t		1	1	(uint32_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	uint64_t	bool	CVRT_bool_uint64_t		1	1	(uint64_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	uint8_t	bool	CVRT_bool_uint8_t		1	1	(uint8_t)($$arg1 ? 1 : 0)	C,universal	10		
conversions	instruction	double	bool	CVRT_double_bool		1	1	(double)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	double	CVRT_double_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	double	CVRT_double_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	double	CVRT_double_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	double	CVRT_double_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
sse_conversions	instruction	int32_t	double	CVRT_double_int32_t		2	2	_mm_shuffle_epi32(_mm_cvtpd_epi32($$arg1),0x58)	sse,universal	10		
conversions	instruction	int64_t	double	CVRT_double_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	double	CVRT_double_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	double	CVRT_double_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	double	CVRT_double_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
sse_conversions	instruction	uint32_t	double	CVRT_double_uint32_t		2	2	_mm_shuffle_epi32(_mm_cvtpd_epi32($$arg1),0x58)	sse,universal	10		
conversions	instruction	uint64_t	double	CVRT_double_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	double	CVRT_double_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	float	bool	CVRT_float_bool		1	1	(float)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	float	CVRT_float_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	float	CVRT_float_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	float	CVRT_float_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	float	CVRT_float_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
sse_conversions	instruction	int32_t	float	CVRT_float_int32_t		2	2	_mm_cvtps_epi32($$arg1)	sse,universal	10		
sse_conversions	instruction	int32_t	float	CVRT_float_int32_t		4	4	_mm_cvtps_epi32($$arg1)	sse,universal	10		
conversions	instruction	int64_t	float	CVRT_float_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	float	CVRT_float_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	float	CVRT_float_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	float	CVRT_float_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
sse_conversions	instruction	uint32_t	float	CVRT_float_uint32_t		2	2	_mm_cvtps_epi32($$arg1)	sse,universal	10		
sse_conversions	instruction	uint32_t	float	CVRT_float_uint32_t		4	4	_mm_cvtps_epi32($$arg1)	sse,universal	10		
conversions	instruction	uint64_t	float	CVRT_float_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	float	CVRT_float_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	int16_t	bool	CVRT_int16_t_bool		1	1	(int16_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	int16_t	CVRT_int16_t_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	int16_t	CVRT_int16_t_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	int16_t	CVRT_int16_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	int16_t	CVRT_int16_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	int16_t	CVRT_int16_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	int16_t	CVRT_int16_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	int16_t	CVRT_int16_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	int16_t	CVRT_int16_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	int16_t	CVRT_int16_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	int16_t	CVRT_int16_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	bool	CVRT_int32_t_bool		1	1	(int32_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	int32_t	CVRT_int32_t_double		1	1	(double)$$arg1	C,universal	10		
sse_conversions	instruction	double	int32_t	CVRT_int32_t_double		2	2	_mm_cvtepi32_pd(_mm_shuffle_epi32($$arg1,0x58))	sse,universal	10		
conversions	instruction	float	int32_t	CVRT_int32_t_float		1	1	(float)$$arg1	C,universal	10		
sse_conversions	instruction	float	int32_t	CVRT_int32_t_float		2	2	_mm_cvtepi32_ps($$arg1)	sse,universal	10		
sse_conversions	instruction	float	int32_t	CVRT_int32_t_float		4	4	_mm_cvtepi32_ps($$arg1)	sse,universal	10		
conversions	instruction	int16_t	int32_t	CVRT_int32_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	int32_t	CVRT_int32_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	int32_t	CVRT_int32_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	int32_t	CVRT_int32_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	int32_t	CVRT_int32_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	int32_t	CVRT_int32_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	int32_t	CVRT_int32_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	int32_t	CVRT_int32_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	bool	CVRT_int64_t_bool		1	1	(int64_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	int64_t	CVRT_int64_t_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	int64_t	CVRT_int64_t_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	int64_t	CVRT_int64_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	int64_t	CVRT_int64_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	int64_t	CVRT_int64_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	int64_t	CVRT_int64_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	int64_t	CVRT_int64_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	int64_t	CVRT_int64_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	int64_t	CVRT_int64_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	int64_t	CVRT_int64_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	bool	CVRT_int8_t_bool		1	1	(int8_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	int8_t	CVRT_int8_t_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	int8_t	CVRT_int8_t_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	int8_t	CVRT_int8_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	int8_t	CVRT_int8_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	int8_t	CVRT_int8_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	int8_t	CVRT_int8_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	int8_t	CVRT_int8_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	int8_t	CVRT_int8_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	int8_t	CVRT_int8_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	int8_t	CVRT_int8_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	bool	ssebool	CVRT_ssebool_bool		1	1	$$arg1 ? 0xFF : 0	C,universal	10		
conversions	instruction	uint16_t	bool	CVRT_uint16_t_bool		1	1	(uint16_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	uint16_t	CVRT_uint16_t_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	uint16_t	CVRT_uint16_t_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	uint16_t	CVRT_uint16_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	uint16_t	CVRT_uint16_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	uint16_t	CVRT_uint16_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	uint16_t	CVRT_uint16_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	uint16_t	CVRT_uint16_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	uint16_t	CVRT_uint16_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	uint16_t	CVRT_uint16_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	uint16_t	CVRT_uint16_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	bool	CVRT_uint32_t_bool		1	1	(uint32_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	uint32_t	CVRT_uint32_t_double		1	1	(double)$$arg1	C,universal	10		
sse_conversions	instruction	double	uint32_t	CVRT_uint32_t_double		2	2	_mm_cvtepi32_pd(_mm_shuffle_epi32($$arg1,0x58))	sse,universal	10		
conversions	instruction	float	uint32_t	CVRT_uint32_t_float		1	1	(float)$$arg1	C,universal	10		
sse_conversions	instruction	float	uint32_t	CVRT_uint32_t_float		2	2	_mm_cvtepi32_ps($$arg1)	sse,universal	10		
sse_conversions	instruction	float	uint32_t	CVRT_uint32_t_float		4	4	_mm_cvtepi32_ps($$arg1)	sse,universal	10		
conversions	instruction	int16_t	uint32_t	CVRT_uint32_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	uint32_t	CVRT_uint32_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	uint32_t	CVRT_uint32_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	uint32_t	CVRT_uint32_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	uint32_t	CVRT_uint32_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	uint32_t	CVRT_uint32_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	uint32_t	CVRT_uint32_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	uint32_t	CVRT_uint32_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	bool	CVRT_uint64_t_bool		1	1	(uint64_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	uint64_t	CVRT_uint64_t_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	uint64_t	CVRT_uint64_t_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	uint64_t	CVRT_uint64_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	uint64_t	CVRT_uint64_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	uint64_t	CVRT_uint64_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	uint64_t	CVRT_uint64_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	uint64_t	CVRT_uint64_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	uint64_t	CVRT_uint64_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	uint64_t	CVRT_uint64_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	uint64_t	CVRT_uint64_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	bool	CVRT_uint8_t_bool		1	1	(uint8_t)($$arg1 > 0)	C,universal	10		
conversions	instruction	double	uint8_t	CVRT_uint8_t_double		1	1	(double)$$arg1	C,universal	10		
conversions	instruction	float	uint8_t	CVRT_uint8_t_float		1	1	(float)$$arg1	C,universal	10		
conversions	instruction	int16_t	uint8_t	CVRT_uint8_t_int16_t		1	1	(int16_t)$$arg1	C,universal	10		
conversions	instruction	int32_t	uint8_t	CVRT_uint8_t_int32_t		1	1	(int32_t)$$arg1	C,universal	10		
conversions	instruction	int64_t	uint8_t	CVRT_uint8_t_int64_t		1	1	(int64_t)$$arg1	C,universal	10		
conversions	instruction	int8_t	uint8_t	CVRT_uint8_t_int8_t		1	1	(int8_t)$$arg1	C,universal	10		
conversions	instruction	uint16_t	uint8_t	CVRT_uint8_t_uint16_t		1	1	(uint16_t)$$arg1	C,universal	10		
conversions	instruction	uint32_t	uint8_t	CVRT_uint8_t_uint32_t		1	1	(uint32_t)$$arg1	C,universal	10		
conversions	instruction	uint64_t	uint8_t	CVRT_uint8_t_uint64_t		1	1	(uint64_t)$$arg1	C,universal	10		
conversions	instruction	uint8_t	uint8_t	CVRT_uint8_t_uint8_t		1	1	(uint8_t)$$arg1	C,universal	10		
debug	instruction	bool	bool	DEBUG_bool	debug	1	1	DEBUG_STD((int)$$arg1,"$$arg1")	C,universal	10		
debug	instruction	bool	bool	DEBUG_bool	debug	2	2	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug	instruction	bool	bool	DEBUG_bool	debug	4	4	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug	instruction	bool	bool	DEBUG_bool	debug	8	8	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug	instruction	bool	bool	DEBUG_bool	debug	16	16	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug	instruction	bool	bool	DEBUG_bool	debug	32	32	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug_sse,universal	instruction	bool	bool	DEBUG_bool	debug	64	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug_sse,universal	instruction	bool	bool	DEBUG_bool	debug	128	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug	instruction	double	double	DEBUG_double	debug	1	1	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug_sse,universal	instruction	double	double	DEBUG_double	debug	2	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug_sse,universal	instruction	double	double	DEBUG_double	debug	4	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug_sse,universal	instruction	double	double	DEBUG_double	debug	8	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug_sse,universal	instruction	double	double	DEBUG_double	debug	16	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug	instruction	float	float	DEBUG_float	debug	1	1	DEBUG_STD($$arg1,"$$arg1")	C,universal	10		
debug_sse,universal	instruction	float	float	DEBUG_float	debug	2	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug_sse,universal	instruction	float	float	DEBUG_float	debug	4	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
debug_sse,universal	instruction	float	float	DEBUG_float	debug	8	1	DEBUG_SSE($$arg1,"$$arg1")	sse,universal	10		
